employee_id,stadtteil_name,home_lat,home_lon,population_density,residential_score,transport_score,distance_to_company_km,distance_to_station,pt_access_score,nearest_station_id,walking_distance,driving_time_minutes,transit_time_minutes,transit_transfers,commute_group,time_score,convenience_score,access_score,adoption_score,ticket_recommendation
21,Rothenburgsort,53.535984,10.043492,4100,1.0,0.6087,19.22,346.6,0.6484,288039516.0,346.6,44.0,95.0,3.0,>60 min,0.3138,0.1211,0.6484,0.3866,Optional
22,Hohenfelde,53.563497,10.019806,5800,1.0,0.6522,16.01,168.8,0.8098,10718408319.0,168.8,34.0,84.0,3.0,>60 min,0.2298,0.1546,0.8098,0.452,Recommend Deutschlandticket
23,Norderstedt-Friedrichsgabe,53.705314,9.992974,2200,1.0,0.1304,0.69,141.6,0.8377,739775555.0,141.6,4.0,15.0,0.0,≤30 min,0.0639,0.7165,0.8377,0.6396,Recommend Deutschlandticket
24,Volksdorf,53.64292,10.182299,2100,1.0,0.1304,13.83,362.5,0.6357,474578930.0,362.5,35.0,150.0,3.0,>60 min,0.0374,0.0357,0.6357,0.2947,Not recommended
25,Harburg,53.44935400000001,9.97938,5200,1.0,0.7826,28.72,233.4,0.7469,5696843914.0,233.4,42.0,154.0,2.0,>60 min,0.0695,0.0326,0.7469,0.3479,Optional
26,Hoheluft-Ost,53.566177,9.962798,5800,0.25,0.6087,15.9,299.5,0.6878,303536839.0,299.5,30.0,69.0,3.0,>60 min,0.2725,0.2158,0.6878,0.4305,Optional
27,Alsterdorf,53.611956000000006,10.016886,3900,1.0,0.3478,10.62,121.2,0.8594,286216026.0,121.2,22.0,59.0,2.0,45–60 min,0.186,0.2695,0.8594,0.5073,Recommend Deutschlandticket
28,Altona-Nord,53.566737,9.949924,6800,0.25,0.913,16.0,109.8,0.8718,301611790.0,109.8,26.0,85.0,3.0,>60 min,0.1034,0.1512,0.8718,0.4524,Recommend Deutschlandticket
29,Harvestehude,53.58365,9.989014,4500,1.0,0.4783,13.76,241.1,0.7398,2161074869.0,241.1,30.0,60.0,2.0,45–60 min,0.3679,0.2636,0.7398,0.4896,Recommend Deutschlandticket
30,Billstedt,53.528749,10.096355,6200,0.25,0.7826,20.78,194.1,0.7846,6076965718.0,194.1,44.0,164.0,2.0,>60 min,0.0654,0.0261,0.7846,0.3609,Optional
31,Horn,53.557306,10.079042,4900,1.0,0.3478,17.4,158.1,0.8207,836214967.0,158.1,37.0,91.0,3.0,>60 min,0.2324,0.1324,0.8207,0.4489,Optional
32,Norderstedt-Garstedt,53.72436,10.026566,2900,1.0,0.3478,2.48,374.0,0.6265,5317323637.0,374.0,13.0,39.0,1.0,30–45 min,0.1353,0.4204,0.6265,0.4528,Recommend Deutschlandticket
33,St. Pauli,53.554286,9.968233,6100,1.0,1.0,17.15,400.6,0.6061,2546781358.0,400.6,33.0,69.0,3.0,>60 min,0.3359,0.2158,0.6061,0.4079,Optional
34,Hohenfelde,53.563295,10.016421,5800,1.0,0.6522,16.02,150.4,0.8286,1412965787.0,150.4,34.0,82.0,2.0,>60 min,0.2437,0.1617,0.8286,0.4655,Recommend Deutschlandticket
35,Alsterdorf,53.606481,9.99874,3900,1.0,0.3478,11.19,252.7,0.7292,6178216773.0,252.7,22.0,60.0,3.0,45–60 min,0.1778,0.2636,0.7292,0.4474,Optional
36,Eppendorf,53.58980500000001,9.97815,6200,1.0,0.8261,13.15,13.3,0.9835,288256785.0,13.3,27.0,69.0,2.0,>60 min,0.2111,0.2158,0.9835,0.5459,Recommend Deutschlandticket
37,Rotherbaum,53.558615,9.993482,5200,1.0,0.7826,16.53,371.4,0.6286,1502029203.0,371.4,37.0,66.0,2.0,>60 min,0.4567,0.2307,0.6286,0.447,Optional
38,Alsterdorf,53.602753,9.999399,3900,1.0,0.3478,11.6,226.4,0.7535,13811365421.0,226.4,23.0,59.0,2.0,45–60 min,0.209,0.2695,0.7535,0.4662,Recommend Deutschlandticket
39,Lokstedt,53.601886,9.950046,4800,1.0,0.4348,12.21,316.2,0.6735,12801263411.0,316.2,26.0,76.0,3.0,>60 min,0.1462,0.1847,0.6735,0.3878,Optional
40,Farmsen-Berne,53.624814,10.146369,3200,1.0,0.3913,13.17,165.7,0.8129,12703227953.0,165.7,31.0,101.0,2.0,>60 min,0.1046,0.106,0.8129,0.4105,Optional
41,Barmbek-Nord,53.595753,10.043944,5600,1.0,0.7826,12.67,152.6,0.8263,278487908.0,152.6,30.0,57.0,2.0,45–60 min,0.4066,0.2818,0.8263,0.5413,Recommend Deutschlandticket
42,Langenbek,53.470007,9.952536,3400,1.0,0.3043,26.59,96.0,0.8869,63353504.0,96.0,34.0,159.0,2.0,>60 min,0.0253,0.0292,0.8869,0.3982,Optional
43,Billbrook,53.528161,10.053545,3800,0.25,0.5652,20.18,694.8,0.4196,7250144763.0,694.8,49.0,154.0,2.0,>60 min,0.1173,0.0326,0.4196,0.2162,Not recommended
44,St. Pauli,53.552085,9.970337,6100,1.0,1.0,17.38,151.7,0.8273,258201148.0,151.7,34.0,66.0,3.0,>60 min,0.3902,0.2307,0.8273,0.5195,Recommend Deutschlandticket
45,Langenbek,53.478025,9.936871,3400,1.0,0.3043,25.86,756.5,0.3884,5647199187.0,756.5,33.0,171.0,2.0,>60 min,0.0153,0.0224,0.3884,0.1788,Not recommended
46,Heimfeld,53.472712,9.946655,3800,1.0,0.4348,26.34,1099.7,0.2529,344479065.0,1099.7,34.0,164.0,2.0,>60 min,0.0219,0.0261,0.2529,0.1231,Not recommended
47,Uhlenhorst,53.56914499999999,10.028708,5200,1.0,0.5652,15.44,111.5,0.8699,6093955175.0,111.5,31.0,71.0,3.0,>60 min,0.2752,0.2064,0.8699,0.5061,Recommend Deutschlandticket
48,Eimsbüttel,53.578127,9.950236,5500,1.0,0.6957,14.76,247.3,0.7341,10646610007.0,247.3,25.0,78.0,3.0,>60 min,0.12,0.1767,0.7341,0.4058,Optional
49,Billstedt,53.528104000000006,10.101684,6200,0.25,0.7826,20.95,546.1,0.5053,6076965718.0,546.1,44.0,168.0,2.0,>60 min,0.0597,0.0239,0.5053,0.2386,Not recommended
50,Rotherbaum,53.576086,9.975832,5200,1.0,0.7826,14.68,307.0,0.6813,589914028.0,307.0,32.0,61.0,3.0,>60 min,0.404,0.2578,0.6813,0.4694,Recommend Deutschlandticket
51,Hoheluft-Ost,53.582793,9.979806,5800,0.25,0.6087,13.91,351.9,0.6441,6150072595.0,351.9,28.0,63.0,3.0,>60 min,0.2865,0.2466,0.6441,0.4259,Optional
52,Altona-Altstadt,53.56026,9.929381,4200,1.0,0.8696,17.04,227.6,0.7524,2356512250.0,227.6,26.0,89.0,4.0,>60 min,0.0886,0.1384,0.7524,0.3933,Optional
53,Harburg,53.463205,9.98169,5200,1.0,0.7826,27.17,207.0,0.772,10691233.0,207.0,38.0,104.0,3.0,>60 min,0.1761,0.0992,0.772,0.4045,Optional
54,Farmsen-Berne,53.612534,10.143785,3200,1.0,0.3913,14.04,363.8,0.6346,8237684966.0,363.8,35.0,179.0,2.0,>60 min,0.0163,0.0187,0.6346,0.2838,Not recommended
55,Billbrook,53.547662,10.055313,3800,0.25,0.5652,18.07,150.3,0.8287,5841478671.0,150.3,45.0,99.0,4.0,>60 min,0.3012,0.1108,0.8287,0.458,Recommend Deutschlandticket
56,Harburg,53.45085699999999,9.973939,5200,1.0,0.7826,28.57,173.1,0.8055,1710635436.0,173.1,38.0,157.0,3.0,>60 min,0.0436,0.0305,0.8055,0.3673,Optional
57,Winterhude,53.593901,9.995343,4800,1.0,0.6087,12.6,55.3,0.9332,286529865.0,55.3,25.0,54.0,2.0,45–60 min,0.3135,0.3012,0.9332,0.5761,Recommend Deutschlandticket
58,Bramfeld,53.616559,10.077243,4200,1.0,0.4348,11.2,193.0,0.7857,249284715.0,193.0,29.0,78.0,3.0,>60 min,0.1846,0.1767,0.7857,0.4408,Optional
59,Rotherbaum,53.570267,9.991204,5200,1.0,0.7826,15.24,419.0,0.5923,1502029223.0,419.0,35.0,66.0,2.0,>60 min,0.4124,0.2307,0.5923,0.4226,Optional
60,Blankenese,53.561055,9.80837,1800,1.0,0.2174,20.73,179.2,0.7993,6859801936.0,179.2,36.0,155.0,3.0,>60 min,0.0367,0.0319,0.7993,0.3637,Optional
61,Farmsen-Berne,53.621596,10.147018,3200,1.0,0.3913,13.45,303.4,0.6844,12703227954.0,303.4,31.0,104.0,2.0,>60 min,0.0949,0.0992,0.6844,0.3507,Optional
62,Alsterdorf,53.60597900000001,10.000027,3900,1.0,0.3478,11.25,422.5,0.5897,6178216773.0,422.5,21.0,58.0,3.0,45–60 min,0.1717,0.2756,0.5897,0.3905,Optional
63,Bramfeld,53.60785600000001,10.073999,4200,1.0,0.4348,11.99,158.4,0.8204,249285578.0,158.4,32.0,69.0,3.0,>60 min,0.3147,0.2158,0.8204,0.4961,Recommend Deutschlandticket
64,Rothenburgsort,53.519469,10.040917,4100,1.0,0.6087,21.02,118.2,0.8627,6068314517.0,118.2,48.0,150.0,2.0,>60 min,0.1194,0.0357,0.8627,0.4088,Optional
65,Jenfeld,53.580103,10.115482,4800,1.0,0.5217,15.96,565.6,0.4931,357348733.0,565.6,42.0,96.0,3.0,>60 min,0.2765,0.1184,0.4931,0.3113,Optional
66,Dulsberg,53.588203,10.057094,6800,0.25,0.7391,13.7,336.1,0.6569,5901964546.0,336.1,30.0,72.0,3.0,>60 min,0.2466,0.2019,0.6569,0.4069,Optional
67,Bramfeld,53.604325,10.086945,4200,1.0,0.4348,12.7,210.8,0.7683,343482174.0,210.8,31.0,73.0,3.0,>60 min,0.258,0.1975,0.7683,0.4556,Recommend Deutschlandticket
68,St. Pauli,53.541547,9.967182,6100,1.0,1.0,18.57,134.4,0.8453,3793515347.0,134.4,39.0,79.0,3.0,>60 min,0.3586,0.1728,0.8453,0.4995,Recommend Deutschlandticket
69,Altona-Nord,53.559575,9.956005,6800,0.25,0.913,16.7,261.9,0.7208,5948715578.0,261.9,31.0,77.0,3.0,>60 min,0.2268,0.1807,0.7208,0.4227,Optional
70,Barmbek-Nord,53.587986,10.046786,5600,1.0,0.7826,13.56,220.6,0.759,5041598663.0,220.6,30.0,61.0,2.0,>60 min,0.3558,0.2578,0.759,0.4933,Recommend Deutschlandticket
71,Lokstedt,53.597777,9.95468,4800,1.0,0.4348,12.57,224.3,0.7555,1578177713.0,224.3,27.0,81.0,3.0,>60 min,0.1353,0.1653,0.7555,0.4138,Optional
72,Barmbek-Süd,53.583721,10.050508,6400,0.25,0.8696,14.08,305.5,0.6825,257726463.0,305.5,33.0,70.0,2.0,>60 min,0.3259,0.2111,0.6825,0.4371,Optional
73,Lohbrügge,53.49240699999999,10.194364,3200,1.0,0.3478,27.04,4.5,0.9945,5936292591.0,4.5,50.0,169.0,2.0,>60 min,0.0926,0.0234,0.9945,0.4558,Recommend Deutschlandticket
74,Niendorf,53.61849599999999,9.940958,3200,1.0,0.3478,10.67,609.5,0.4668,2357186472.0,609.5,19.0,71.0,2.0,>60 min,0.0648,0.2064,0.4668,0.2906,Not recommended
75,Ottensen,53.540519,9.923534,7500,1.0,0.8261,19.26,5222.3,0.0,5840624547.0,5222.3,23.0,336.0,4.0,>60 min,0.0,0.0006,0.0,0.0002,Not recommended
76,Eimsbüttel,53.58450799999999,9.962831,5500,1.0,0.6957,13.89,228.1,0.752,10110629362.0,228.1,29.0,71.0,4.0,>60 min,0.235,0.2064,0.752,0.4473,Optional
77,Eimsbüttel,53.576297,9.946366,5500,1.0,0.6957,15.02,204.1,0.7748,301704188.0,204.1,24.0,79.0,4.0,>60 min,0.1011,0.1728,0.7748,0.4182,Optional
78,Farmsen-Berne,53.622134,10.135606,3200,1.0,0.3913,12.89,412.3,0.5973,2167620997.0,412.3,33.0,100.0,2.0,>60 min,0.1313,0.1084,0.5973,0.3237,Optional
79,Bramfeld,53.611826,10.07975,4200,1.0,0.4348,11.75,71.7,0.9143,6214805353.0,71.7,31.0,72.0,3.0,>60 min,0.2664,0.2019,0.9143,0.5218,Recommend Deutschlandticket
80,Harburg,53.464448,9.980448,5200,1.0,0.7826,27.04,197.4,0.7814,316847758.0,197.4,40.0,150.0,2.0,>60 min,0.0639,0.0357,0.7814,0.3628,Optional
81,Farmsen-Berne,53.627984,10.135586,3200,1.0,0.3913,12.42,216.7,0.7627,364701039.0,216.7,30.0,96.0,2.0,>60 min,0.1108,0.1184,0.7627,0.3947,Optional
82,Barmbek-Süd,53.570898,10.033525,6400,0.25,0.8696,15.28,330.4,0.6617,1483298503.0,330.4,31.0,76.0,3.0,>60 min,0.2342,0.1847,0.6617,0.4002,Optional
83,Marmstorf,53.434902,9.966316,2900,1.0,0.1739,30.38,170.3,0.8083,4906481929.0,170.3,40.0,166.0,3.0,>60 min,0.0429,0.025,0.8083,0.3663,Optional
84,Harvestehude,53.589398,9.997915,4500,1.0,0.4783,13.09,637.8,0.4505,244402134.0,637.8,28.0,62.0,2.0,>60 min,0.2969,0.2521,0.4505,0.3465,Optional
85,Altona-Nord,53.57086999999999,9.940611,6800,0.25,0.913,15.7,404.2,0.6034,6311207488.0,404.2,25.0,82.0,5.0,>60 min,0.1023,0.1617,0.6034,0.3404,Optional
86,Groß Flottbek,53.577361,9.889982,2100,1.0,0.087,16.25,141.4,0.838,1768803698.0,141.4,30.0,97.0,4.0,>60 min,0.1072,0.1158,0.838,0.4255,Optional
87,Hamm,53.55846500000001,10.049143,5400,1.0,0.6522,16.81,92.2,0.8911,8244705812.0,92.2,37.0,87.0,2.0,>60 min,0.2589,0.1447,0.8911,0.4891,Recommend Deutschlandticket
88,Winterhude,53.58107800000001,9.991951,4800,1.0,0.6087,14.03,271.4,0.7123,335627125.0,271.4,30.0,61.0,2.0,>60 min,0.3558,0.2578,0.7123,0.4732,Recommend Deutschlandticket
89,Harvestehude,53.593817,9.988442,4500,1.0,0.4783,12.63,156.6,0.8222,1499145453.0,156.6,28.0,62.0,2.0,>60 min,0.2969,0.2521,0.8222,0.5068,Recommend Deutschlandticket
90,Langenhorn,53.653967,10.0094,3100,1.0,0.3043,5.92,344.5,0.6501,338974149.0,344.5,14.0,43.0,1.0,30–45 min,0.126,0.3846,0.6501,0.4479,Optional
91,Harvestehude,53.59144300000001,9.999379,4500,1.0,0.4783,12.86,218.4,0.7611,244402134.0,218.4,26.0,58.0,2.0,45–60 min,0.2921,0.2756,0.7611,0.4882,Recommend Deutschlandticket
92,Billbrook,53.533582,10.065453,3800,0.25,0.5652,19.74,492.1,0.5405,395498900.0,492.1,47.0,98.0,3.0,>60 min,0.3379,0.1133,0.5405,0.342,Optional
93,Winterhude,53.59588000000001,10.006528,4800,1.0,0.6087,12.37,484.1,0.546,6138886110.0,484.1,25.0,64.0,2.0,>60 min,0.2101,0.2412,0.546,0.3665,Optional
94,Uhlenhorst,53.56226700000001,10.026968,5200,1.0,0.5652,16.19,251.2,0.7305,26678614.0,251.2,38.0,75.0,2.0,>60 min,0.3777,0.1889,0.7305,0.4598,Recommend Deutschlandticket
95,St. Pauli,53.547299,9.970923,6100,1.0,1.0,17.9,252.9,0.7289,3032426999.0,252.9,35.0,69.0,3.0,>60 min,0.3785,0.2158,0.7289,0.4693,Recommend Deutschlandticket
96,Jenfeld,53.571783,10.135484,4800,1.0,0.5217,17.41,145.6,0.8336,2595035351.0,145.6,44.0,94.0,3.0,>60 min,0.321,0.1238,0.8336,0.4689,Recommend Deutschlandticket
97,Hohenfelde,53.575947,10.005946,5800,1.0,0.6522,14.59,731.9,0.4006,1412965792.0,731.9,32.0,78.0,3.0,>60 min,0.2375,0.1767,0.4006,0.2853,Not recommended
98,Bahrenfeld,53.55530200000001,9.896679,3200,1.0,0.4348,18.29,365.6,0.6332,336211990.0,365.6,31.0,127.0,3.0,>60 min,0.0452,0.0595,0.6332,0.304,Optional
99,Blankenese,53.566989,9.812385,1800,1.0,0.2174,20.04,185.8,0.7928,8668136436.0,185.8,37.0,153.0,3.0,>60 min,0.0435,0.0334,0.7928,0.3628,Optional
100,Norderstedt-Garstedt,53.713448,10.017714,2900,1.0,0.3478,1.21,288.0,0.6977,1349140608.0,288.0,9.0,34.0,0.0,30–45 min,0.0622,0.4697,0.6977,0.4873,Recommend Deutschlandticket
101,Poppenbüttel,53.669324,10.091658,2400,1.0,0.2609,7.2,310.4,0.6784,2788916328.0,310.4,18.0,73.0,2.0,>60 min,0.0471,0.1975,0.6784,0.3751,Optional
102,Billbrook,53.529454,10.065017999999998,3800,0.25,0.5652,20.18,607.6,0.4679,292065648.0,607.6,46.0,102.0,3.0,>60 min,0.296,0.1037,0.4679,0.2988,Not recommended
103,Stellingen,53.585512,9.913334,4100,0.25,0.3913,14.76,142.4,0.8369,5198416572.0,142.4,22.0,89.0,4.0,>60 min,0.0476,0.1384,0.8369,0.4216,Optional
104,Norderstedt-Garstedt,53.722264,10.016164,2900,1.0,0.3478,1.91,188.7,0.7899,334310400.0,188.7,7.0,30.0,1.0,≤30 min,0.0374,0.5134,0.7899,0.5384,Recommend Deutschlandticket
105,Harburg,53.458152,9.965924,5200,1.0,0.7826,27.8,38.9,0.9525,5686864207.0,38.9,39.0,149.0,3.0,>60 min,0.0596,0.0365,0.9525,0.436,Optional
106,Hamm,53.549947,10.059662,5400,1.0,0.6522,17.88,91.0,0.8924,1970586785.0,91.0,40.0,91.0,3.0,>60 min,0.2794,0.1324,0.8924,0.4892,Recommend Deutschlandticket
107,Winterhude,53.599299,9.992795,4800,1.0,0.6087,12.01,148.4,0.8307,287530960.0,148.4,24.0,54.0,2.0,45–60 min,0.2865,0.3012,0.8307,0.5266,Recommend Deutschlandticket
108,Stellingen,53.597736,9.93017,4100,0.25,0.3913,13.08,128.1,0.852,2390969022.0,128.1,22.0,83.0,4.0,>60 min,0.0625,0.1581,0.852,0.4384,Optional
109,Groß Flottbek,53.56797,9.886145,2100,1.0,0.087,17.3,207.5,0.7715,2356451922.0,207.5,23.0,99.0,5.0,>60 min,0.0367,0.1108,0.7715,0.381,Optional
110,Poppenbüttel,53.655542,10.095262,2400,1.0,0.2609,8.36,139.7,0.8397,1457394004.0,139.7,21.0,65.0,2.0,>60 min,0.123,0.2359,0.8397,0.4739,Recommend Deutschlandticket
111,Winterhude,53.591726,9.995223,4800,1.0,0.6087,12.84,388.5,0.6153,281923855.0,388.5,27.0,60.0,2.0,45–60 min,0.2946,0.2636,0.6153,0.4214,Optional
112,Hoheluft-Ost,53.588935,9.973909,5800,0.25,0.6087,13.28,150.9,0.828,3470259269.0,150.9,30.0,72.0,3.0,>60 min,0.2466,0.2019,0.828,0.4807,Recommend Deutschlandticket
113,St. Pauli,53.56319499999999,9.959875,6100,1.0,1.0,16.26,87.4,0.8966,303536278.0,87.4,30.0,74.0,3.0,>60 min,0.2307,0.1931,0.8966,0.5039,Recommend Deutschlandticket
114,Wandsbek,53.569325,10.073597,5900,0.25,0.9565,16.02,239.5,0.7413,2597834637.0,239.5,35.0,84.0,2.0,>60 min,0.2466,0.1546,0.7413,0.4258,Optional
115,Eppendorf,53.582542,9.988215,6200,1.0,0.8261,13.89,98.6,0.8841,2161074869.0,98.6,30.0,58.0,2.0,45–60 min,0.3932,0.2756,0.8841,0.5612,Recommend Deutschlandticket
116,Lohbrügge,53.496059,10.186368,3200,1.0,0.3478,26.43,242.0,0.7390000000000001,7040854308.0,242.0,51.0,169.0,2.0,>60 min,0.0989,0.0234,0.7390000000000001,0.3469,Optional
117,Rothenburgsort,53.53030500000001,10.05619,4100,1.0,0.6087,19.98,295.0,0.6916,332609779.0,295.0,48.0,103.0,3.0,>60 min,0.318,0.1014,0.6916,0.3987,Optional
118,Hamm,53.555305,10.065392999999998,5400,1.0,0.6522,17.38,341.4,0.6526,3197892918.0,341.4,39.0,85.0,3.0,>60 min,0.3074,0.1512,0.6526,0.3983,Optional
119,Barmbek-Nord,53.604834,10.039217,5600,1.0,0.7826,11.62,149.0,0.8301,1487215758.0,149.0,24.0,53.0,2.0,45–60 min,0.2987,0.308,0.8301,0.5313,Recommend Deutschlandticket
120,Jenfeld,53.56861899999999,10.113428,4800,1.0,0.5217,17.05,501.5,0.5343,339408761.0,501.5,42.0,99.0,3.0,>60 min,0.2574,0.1108,0.5343,0.3224,Optional
121,Wandsbek,53.575124,10.092906,5900,0.25,0.9565,15.84,12.3,0.9847,302320053.0,12.3,37.0,89.0,3.0,>60 min,0.2453,0.1384,0.9847,0.5244,Recommend Deutschlandticket
122,Rahlstedt,53.598738,10.148583,3600,1.0,0.6522,15.42,398.3,0.6078,5763958677.0,398.3,39.0,158.0,2.0,>60 min,0.0473,0.0299,0.6078,0.2825,Not recommended
123,Bahrenfeld,53.571826,9.907544,3200,1.0,0.4348,16.32,220.3,0.7593,6343444270.0,220.3,25.0,99.0,4.0,>60 min,0.0518,0.1108,0.7593,0.3787,Optional
124,Barmbek-Süd,53.579902,10.042475,6400,0.25,0.8696,14.38,78.3,0.9068,6985224162.0,78.3,32.0,71.0,3.0,>60 min,0.2956,0.2064,0.9068,0.5261,Recommend Deutschlandticket
125,Altona-Nord,53.558221,9.94198,6800,0.25,0.913,17.04,263.1,0.7197,7806281473.0,263.1,29.0,76.0,4.0,>60 min,0.1978,0.1847,0.7197,0.418,Optional
126,Langenhorn,53.65682,10.003646,3100,1.0,0.3043,5.59,147.1,0.8321,338974148.0,147.1,11.0,41.0,1.0,30–45 min,0.0654,0.4021,0.8321,0.5208,Recommend Deutschlandticket
127,Sternschanze,53.556948,9.963894,7200,0.25,0.8261,16.9,159.6,0.8192,333074043.0,159.6,32.0,68.0,3.0,>60 min,0.3247,0.2207,0.8192,0.4993,Recommend Deutschlandticket
128,Rotherbaum,53.57090400000001,9.97868,5200,1.0,0.7826,15.23,62.8,0.9245,2357186486.0,62.8,32.0,67.0,3.0,>60 min,0.335,0.2256,0.9245,0.5486,Recommend Deutschlandticket
129,Othmarschen,53.542527,9.892598,2800,1.0,0.1739,19.71,598.7,0.4732,270634240.0,598.7,28.0,102.0,3.0,>60 min,0.0712,0.1037,0.4732,0.2566,Not recommended
130,Wandsbek,53.570266,10.074597,5900,0.25,0.9565,15.94,162.8,0.8158,1609588028.0,162.8,34.0,84.0,2.0,>60 min,0.2298,0.1546,0.8158,0.4546,Recommend Deutschlandticket
131,Eppendorf,53.599792,9.976508,6200,1.0,0.8261,12.06,314.6,0.6749,5943781955.0,314.6,25.0,77.0,3.0,>60 min,0.1249,0.1807,0.6749,0.3827,Optional
132,Duvenstedt,53.69945300000001,10.090448,1600,0.0,0.0435,5.84,1047.3,0.2701,1703550656.0,1047.3,21.0,254.0,3.0,>60 min,0.0,0.0035,0.2701,0.1178,Not recommended
133,Wandsbek,53.559973,10.095103,5900,0.25,0.9565,17.46,659.8,0.4384,7589465895.0,659.8,39.0,150.0,2.0,>60 min,0.0581,0.0357,0.4384,0.2137,Not recommended
134,Sternschanze,53.554687,9.959833,7200,0.25,0.8261,17.19,450.0,0.5698,3453794081.0,450.0,31.0,75.0,3.0,>60 min,0.2419,0.1889,0.5698,0.3636,Optional
135,Wandsbek,53.556508,10.075772,5900,0.25,0.9565,17.43,204.5,0.7744,336031562.0,204.5,42.0,94.0,3.0,>60 min,0.2899,0.1238,0.7744,0.4372,Optional
136,Altona-Nord,53.552191,9.934329,6800,0.25,0.913,17.82,35.5,0.9566,3357946758.0,35.5,32.0,70.0,4.0,>60 min,0.305,0.2111,0.9566,0.5511,Recommend Deutschlandticket
